program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
Bowlero Lone Tree,Douglas,9255 Kimmer Dr,5,8,13,43
Bowmar Gas Express,Arapahoe,5200 S Lowell Blvd,6,7,13,43
Boyds Tasty Expressions,Adams,12189 Pennsylvania St,0,0,0,56
Brads Pit BBQ,Arapahoe,5950 S Platte Canyon Rd Unit D18,0,0,0,56
Brantner Elementary,Adams,7800 E 133rd Ave,1,0,1,55
Bravos Italian Restaurant,Adams,10691 Melody Dr Unit C & E,4,5,9,47
Bread in the Box,Douglas,1605 Park St Ste A,2,1,3,53
Break Time Conoco,Arapahoe,15015 E Hinsdale Dr,1,0,1,55
Breakfast Queen,Arapahoe,3460 S Broadway,3,5,8,48
Breakfast on Broadway Cafe,Arapahoe,2901 S Broadway,2,1,3,53
Breckenridge Brewery (The Farmhouse),Arapahoe,2990 Brewery Ln,2,5,7,49
Brewery Bar III,Douglas,9228 Park Meadows Dr,3,4,7,49
Brewskis Pub and Grill,Adams,2100 E 104th Ave,9,2,11,45
Briccys Coffee,Douglas,140 S Wilcox St Unit C,1,3,4,52
Brick House Tavern & Tap,Douglas,19320 Cottonwood Dr,4,7,11,45
Brighton High School,Adams,360 S 8th Ave,2,7,9,47
Brighton Learning and Resource Center,Adams,1850 E Egbert St,1,2,3,53
Brighton Meal Site VOA,Adams,1150 Prairie Center Pkwy,0,2,2,54
Brighton Sport Park Concession,Adams,1111 Judicial Center Dr,3,5,8,48
Brio Tuscan Grille,Douglas,8441 Park Meadows Center Dr,4,7,11,45
Britstop Cafe,Douglas,221 Perrt St,0,1,1,55
Broadway Sinclair,Adams,6185 N Broadway Ave,0,2,2,54
Broadways Shot Spot,Arapahoe,4011 S Broadway Unit 103,0,1,1,55
Broken Tee Grill,Arapahoe,2101 W Oxford Ave,6,7,13,43
Bromley East Charter School,Adams,356 Longspur Dr,0,1,1,55
Bronco Bar,Adams,9496 E Montview Blvd,4,4,8,48
Brooks Smokehouse Catering BBQ & Cajun Cuisine,Arapahoe,800 Oakland St,4,0,4,52
Brothers BBQ,Arapahoe,9069 E Arapahoe Rd,0,0,0,56
Brothers BBQ,Douglas,5544 Promenade Pkwy,0,0,0,56
Brothers Bar & Grill,Douglas,7407 Park Meadows Dr,1,3,4,52
Brothers Kitchen,Adams,7155 Newport St,3,5,8,48
Bua,Arapahoe,950 S Abilene St,3,3,6,50
Bubba Chinos,Adams,201 S Main St,5,8,13,43
Bubba Chinos 20,Adams,5595 Federal Blvd,3,5,8,48
Bubbas 33,Arapahoe,2270 S Parker Rd,3,1,4,52
Buds Bar,Douglas,5453 Manhart St,4,2,6,50
Buffalo Ridge Elementary,Douglas,7075 N Shoreham Dr,1,1,2,54
Buffalo Trail Elementary,Arapahoe,24300 E Progress Dr,1,3,4,52
