program_id,county,site_address,total_violations
Cafe Paprika,Arapahoe,13160 E Mississippi Ave,9
Cafe Rio Mexican Grill,Adams,100 E 120th Ave Unit C140,9
Cafe Rio Mexican Grill,Arapahoe,610 S Colorado Blvd Ste A,3
Cafe Rio Mexican Grill,Arapahoe,6907 S University Blvd,3
Cafe Rio Mexican Grill,Douglas,832 New Memphis Ct Ste 120,4
Cafe Sol,Douglas,9049 Forsstrom Dr,3
Cafe Terra Cotta,Arapahoe,5649 S Curtice St,13
Cafe Typica,Arapahoe,4340 E Kentucky Ave Unit 145,3
Cafe du Coco,Arapahoe,2676 W Alamo Ave,7
Caitlins,Arapahoe,4379 E Mississippi Ave,4
Cajun and Grill,Douglas,8515 Park Meadows Center Dr Unit 3019,13
Cakeheads,Arapahoe,7530 S University Blvd Unit 105,7
Cakes By Karen,Adams,10691 Melody Dr # 1,9
California Pizza Kitchen,Douglas,8343 Park Meadows Center Dr,14
Calvary Chapel,Arapahoe,18900 E Hampden Ave,3
Cambria Suites,Adams,16001 E 40th Cir,12
Campus Middle School,Arapahoe,4785 S Dayton St,0
Cannoli Cafe,Douglas,18595 E Mainstreet 1st Flr,4
Canon Catering,Arapahoe,6518 S Broadway,7
Cantina Deportiva,Adams,6970 Eudora Dr,3
Canyon Creek Elementary,Arapahoe,6070 S Versailles Pkwy,0
Capitol Pizza,Adams,805 W 88th Ave,14
Capri Pizza,Adams,12720 Colorado Blvd Unit D2,13
